version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens,call_2_kind,call_2_prefill_ms,call_2_decode_ms,call_2_input_tokens,call_2_output_tokens,call_2_cached_tokens
2026-08-27,2026-08-28,2026-08-28-1,ai-6632206013,0c24a3ca3dcbcabd911430eaadb35b84e906d02f0409ed9e863e10499e9e22b7,https://techcrunch.com/2026/08/28/anthropic-gets-its-first-court-win-over-the-pentagons-supply-chain-risk-label,ai,techcrunch-ai,publish,ok,,,2708,428,68,,134,42,192664,154152,38471,1519,221,0,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-5383504329,4c7f55b2ce99d5c960ee3cdee27f3e3fc5126ba19af030fd6b3de5b49a7e2f36,https://zdnet.com/article/how-to-get-free-google-ai-pro-subscription-for-one-year,ai,zdnet-ai,publish,ok,,,1993,364,73,,503,215,91132,53983,37138,1451,212,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-7245162650,2354f4adeedd249abc7c9806cc7bdf50da13994b2f150f63754b64684209b027,https://deepmind.google/blog/gemini-3-1-flash-lite-built-for-intelligence-at-scale,ai,deepmind-blog,publish,ok,,,2439,364,64,,935,59,99067,60681,38376,1530,222,939,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-7962797170,3e40d6c6bf53687271104016719c5a8d7c75b7eca248e114efd7b793dd779b66,https://research.google/blog/spotlight-on-innovation-google-sponsored-data-science-for-health-ideathon-across-africa,ai,google-research-blog,publish,ok,,,5559,790,134,,575,56,284999,223539,61361,2199,341,0,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-2890264400,1352cae115a1875095f8254f3e239230e7737433adb124f7ffd3afac5a78be79,https://theguardian.com/technology/2026/aug/28/us-court-rules-pentagon-anthropic-ban-illegal-trump-claude-ai,ai,guardian-ai,publish,ok,,,3069,468,63,,383,49,96663,63651,33002,1546,191,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-0026397707,f13ce6415595880b5bf3be33d6282c509f13fb1a2e2d1dae23d8c7b0e60728f8,https://nytimes.com/2026/08/27/technology/meta-settlement-mark-zuckerberg-youtube-tiktok.html,ai,nyt-ai,fetch,failed,http_client_error,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-9972825170,c5850a5edfd558524ffe6826cbb8cc4fcebbbd2605d73e2931b8bb58565f9933,https://databricks.com/blog/object-storage-wal-lakebase-postgres-agentic-era,ai,databricks-blog,publish,ok,,,11153,1923,136,,207,104,391047,336855,54041,3289,292,0,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-0936799123,7f9102717fb19b933dc90dbe75e9675c47762958f0391006a14a1eedbbc78f7f,https://venturebeat.com/infrastructure/railway-secures-usd100-million-to-challenge-aws-with-ai-native-cloud,ai,venturebeat-ai,fetch,failed,http_rate_limited,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,energy-6143128237,de779a591aedcaad4cc825b5956943fb95ab42ca3acabcc24b4ae7cc9c6c53a4,https://oilprice.com/Latest-Energy-News/World-News/Amazon-Nears-1-GW-of-Wind-Power-in-Sweden-With-Four-New-Deals.html,energy,oilprice,publish,ok,,,2453,383,63,,999,53,98420,58162,40248,1489,232,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,energy-4860908151,d558b0b3ed96d6774250a7b82b9e816b5cc05fbafa502404024cea1f064719c4,https://oilprice.com/Geopolitics/Europe/Trump-Dismisses-NATO-Attack-Fears-After-CIA-Chiefs-Moscow-Trip.html,energy,oilprice,publish,ok,,,4812,782,129,,579,45,159724,106821,52796,1967,299,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,energy-6313378539,fdf78f013c5712eb65df2b49ba6de8888063536e694b9e9980bccc493ba8258d,https://energy-storage.news/ontario-municipality-rejects-bedrock-energys-canada-compressed-air-energy-storage-project-rejected,energy,energy-storage,publish,ok,,,2723,422,69,,1279,46,108570,68329,40230,1590,231,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,energy-1664060302,b5465a52fa12db8eddfb77ba979ddae167e961dc6066b6d252cf399ba718e3b7,https://cleantechnica.com/2026/08/27/georgia-psc-approves-secret-openai-contract,energy,cleantechnica,publish,ok,,,2718,432,88,,703,23,103798,60486,43302,1515,250,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,energy-6976800263,b75affd4f665fe07c613355fcc6fa9b7d0a976ddcf3d27f888b67b5ab729e1df,https://offshorewind.biz/2026/08/28/seaway-alfa-lift-to-start-installing-inch-cape-jacket-pin-piles-cadelers-wind-mover-to-begin-turbine-installation-in-november,energy,offshore-wind,summarize,failed,length_out_of_range,,18,3,,,2148,21,117494,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-4966315484,e83aa1b78125a9dc175ea8039cb8f6a3b71e5b69629d3cfa1e8723cda305358d,https://finance.yahoo.com/technology/ai/articles/alibaba-baba-big-ai-bet-141400449.html,business-economy,yahoo-finance,publish,ok,,,2902,469,79,,645,117,123761,74060,49691,1646,286,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-6594834385,cbe20b0668f8f3d165d921cb6e19d4a055909fe30d656e2dc66feb8bcddea15c,https://fortune.com/2026/08/28/why-apples-next-ceo-shows-you-dont-need-to-move-out-to-move-up,business-economy,fortune,extract,failed,paywalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-0248642581,812e4623ffabcc157569d1c0cef7241de15388198f7701bd8dd30367cd9b9254,https://seekingalpha.com/news/4637896-apple-hikes-streaming-price-as-industry-raises-rates-with-little-resistance?feed_item_type=news,business-economy,seekingalpha,publish,ok,not_prose,,258,41,45,,175,54,37814,10665,27140,1025,161,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-2586032617,57076f8bda0b8de935fcbff80ec37cd97488148bfc80c5ce8dfea0a2f1e323d8,https://marketwatch.com/story/my-father-in-law-passed-away-leaving-a-house-with-tenants-do-i-evict-them-f974428c?mod=mw_rss_topstories,business-economy,marketwatch,fetch,failed,robots_denied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-4065010894,446a518764dc1cce9c820a9767c63ff53230d1828d6d63086f2722f409b9b3c1,https://bbc.co.uk/news/articles/cjdvl93e10jo?at_campaign=rss&at_medium=RSS,business-economy,bbc-business,publish,ok,,,2123,363,58,,548,53,84061,53012,31000,1440,180,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-7628678432,3223dd22cd903d20981ad666b0143f58094d1d79b6fb7173af4a7c146265199b,https://economist.com/finance-and-economics/2026/08/23/is-scott-bessent-the-fed-chair-donald-trump-always-wanted,business-economy,economist-finance,fetch,failed,http_client_error,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,business-economy-8850945121,222ce38c8038b461b48c07b2c61cb6ac558f88f1c043c07da2d1d3080a682c3f,https://npr.org/2026/08/28/g-s1-140309/us-iran-middle-east-oil-pipelines-hormuz,business-economy,npr-business,publish,ok,,,9551,1552,110,,397,47,258182,205983,52012,2923,285,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-4785403756,f442213e356de76c9a6b16443300ee73112dabaac147ad9eac5b5e28b431fc31,https://abc.net.au/news/2026-08-28/spacex-rocket-begins-journey-back-to-texas-from-christmas-island/107079554,world,abc-au-world,publish,ok,,,3797,631,59,,566,72,126572,87372,39189,1783,224,928,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-0660708508,7f459847def6f09cd044ba79942e5181c115ac8377ed5e5cd47b7bb1c1374719,https://asia.nikkei.com/business/technology/artificial-intelligence/japan-s-top-banks-regain-access-to-anthropic-s-mythos-ai-after-us-freeze,world,nikkei-asia,extract,failed,paywalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-6015757725,7945fa7f27ad099d833a8acc5026f29c3c128f5006dceeed5cfe5727ec76b404,https://apnews.com/article/celine-dion-paris-france-grammy-plenitude-arena-quebec-97b3dae2af6c591f7201d952e2d73d4a,world,apnews-world,publish,ok,,,1904,332,74,,170,183,99252,52389,46818,1435,270,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-8510565090,ae8df12f01bcb6e2daf6a19dd4b8baf80450afd27dada7cdf9eb199e99e4acce,https://france24.com/en/asia-pacific/20260828-rescuers-grapple-with-mountain-of-challenges-after-the-nepal-tibet-floods,world,france24,publish,ok,,,6552,1099,113,,781,53,195448,141173,54153,2302,301,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-5581921838,18c8597f4f80322e6259836ed931e200616e2de8641b622aae1f49297a89c31d,https://scmp.com/business/china-evs/article/3365652/byd-posts-us12-billion-profit-second-quarter-surging-global-demand,world,scmp-news,extract,failed,paywalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-7339736074,3422de0f805af80a33feda1dbefeca3bf7dc63c299b88b4ab74d4fa845cc133a,https://english.elpais.com/spain/2026-08-28/how-a-holiday-in-spain-ended-in-tragedy-for-an-irish-new-zealand-couple.html,world,elpais-en,publish,ok,,,2436,380,66,,1381,63,90370,52245,38114,1435,222,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-1393099712,a4f73e12ac8effc033364b738d86a84dbdddadb5d4e82131f8c9cfe8495ec763,http://africanews.com/2026/08/28/kenyas-world-record-holder-sawe-withdraws-from-berlin-marathon,world,africanews,publish,ok,,,1047,168,59,,1539,32,60814,29202,31603,1208,185,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-8626698061,7fdf3df12a235f4dddb642cb831e4e59fa515f7753cb74ed6e041c2724df33cd,https://lemonde.fr/en/politics/article/2026/08/28/french-economy-stagnates-as-deficit-persists-complicating-budget-plans_6756938_5.html,world,lemonde-en,publish,ok,too_short,,209,35,34,,1679,5,29535,9863,19663,1018,117,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-3767176028,3e3dca9df901635c8be5c610eae1edcb830da2d754bbdb64ce1bb31edb518d5e,https://foreignpolicy.com/2026/08/28/panamerican-congress-uruguay-progressive-lawmakers-cpac,world,foreign-policy,extract,failed,paywalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,world-8897641344,b3850ae89e63af80dc67445f8220fbb57acfb1a21ff98dcb8968fbb1243023d7,https://abc.net.au/news/2026-08-28/lindsay-kennedy-colleen-bradshaw-murder-trial-closing-statements/107091668,world,abc-au-world,publish,ok,,,4826,835,96,,258,71,162422,113846,48487,2036,272,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-5882869046,fd9f90136600cd362e1352671428e89ea69a0c5e7414fb78b13c645d411268ba,https://rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=63463,india,rbi-press,extract,failed,no_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-9986058029,4ff3b01211794b2d183741c3b5a761dc32d11099c0bdd470941cb38f138c43f4,https://timesofindia.indiatimes.com/india/valmiki-scam-karnataka-minister-b-nagendra-resigns-breaks-down-on-camera/articleshow/133592285.cms,india,toi-india,publish,ok,,,3687,589,85,,433,110,132051,85217,46823,1757,267,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-8374728060,03495721dd76797c27e8faf8f542382d6df47f137e956f92d305691c7e1a0142,https://timesofindia.indiatimes.com/technology/tech-news/on-the-day-bill-gates-wrote-thousands-of-words-on-how-ai-models-from-openai-and-anthropic-have-shocked-him-sam-altman-had-another-nightmare-for-him/articleshow/133591595.cms,india,toi-top,publish,ok,,,4508,675,65,,56,81,127612,92903,34633,1830,198,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-4670310869,fab19cf4967a25d51a2645c5769f1e54149de6e82b367ce663d040e8f1f4bf94,https://economictimes.indiatimes.com/markets/stocks/news/tejas-networks-shares-zoom-13-after-tcss-rs-1537-crore-loi-for-bsnl-4g-rollout/articleshow/133584293.cms,india,et-default,publish,ok,,,2624,422,68,,311,82,132147,79929,52120,1703,299,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-1882291283,bead7a48f153e053963f944c75cba0690e95282983434deb94e54dce5aef791b,https://hindustantimes.com/india-news/beyond-duty-delhi-cop-s-zeal-facebook-page-helps-reunite-specially-abled-karnataka-man-with-family-101787878223549.html,india,hindustan-times,publish,ok,,,3918,621,74,,128,60,146394,99032,47225,1888,268,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-7059862738,d2ea3356050958d2494af8b1ccc3b539bae6eb5b60a4a327aed74bf49856e40d,https://thehindubusinessline.com/news/govt-eases-defence-export-rules-simplifies-sop-and-ogel-framework-to-boost-global-reach/article71400000.ece,india,thehindu-business,publish,ok,,,4299,595,63,,494,40,127670,89764,37811,1799,217,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-2582285383,c530f43bedb5ec47fbb6b57afddd598496cb14234dac22cedca17ba7b72e07e3,https://hindustantimes.com/business/oil-extends-falls-nasdaq-futures-lower-before-nvidia-earnings-101787734307605.html,india,ht-business,extract,failed,paywalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-9934236984,53a5b679a82f253863895c00446e82e6cc5e00ccb461ab9e8b45f6ad4c6f2bf0,https://livemint.com/market/stock-market-news/us-stocks-muted-ahead-of-kevin-warsh-s-jackson-hole-speech-11787924447163.html,india,livemint-markets,publish,ok,,,2651,381,67,,204,30,105943,60926,44922,1517,259,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-8882818101,f44d9e96c70b2c354db62ee7e601f8e9ba08cb826f21f827110773561af61c70,https://frontline.thehindu.com/politics/yashaswinee-raje-singh-political-inheritance-bjp/article71387912.ece,india,frontline,publish,ok,,,7103,1087,119,,406,36,207168,155098,51902,2426,286,923,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,india-6748376811,8bf1b705ed9bbaebfdded57797a8b94ca4e50fc4df7e7c78b6f83b3e3afd5c1a,https://thequint.com/news/breaking-news/west-bengal-ten-newborns-die-in-one-day-at-malda-medical-college,india,the-quint,publish,ok,,,3111,465,57,,231,62,100857,63526,37321,1543,216,922,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-5181680729,5c8d75ef9c12c05961137bb4431a14c551ac90466a167ec85821c6aa78285922,https://openai.com/index/what-students-gain-from-chatgpt-critical-thinking-training,ai,openai-news,fetch,failed,http_client_error,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-28,2026-08-28-1,ai-4709068795,807c9b16744393fb3a05de7a50f1b4b19ec5c3af38d0f9821f59e16e1c541140,https://zdnet.com/article/big-guessing-game-apple-edition-round-3,ai,zdnet-ai,publish,ok,,,1324,243,77,,968,214,182407,136121,46245,1346,266,0,,,,,,,,,,,,,,,,,,
