version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens,call_2_kind,call_2_prefill_ms,call_2_decode_ms,call_2_input_tokens,call_2_output_tokens,call_2_cached_tokens,truncation_cap_tokens
2026-08-27,2026-08-27,2026-08-27-1,ai-6440316798,52343a012216677e078ffdd291763971d664b81843a2fed560d68d06e4aac80a,https://blogs.nvidia.com/blog/nvlink-fusion-nvhbm-custom-high-bandwidth-memory,ai,nvidia-newsroom,publish,ok,,,3185,463,77,,532,25,120163,47736,72415,1611,254,0,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-3143819588,54b5b130ce090544f75cad1343c5e44d568a04b4edfbbb6a47880aa8f9f4fc96,https://zdnet.com/article/chatgpt-can-log-into-your-web-accounts-without-you-now-but-should-you-let-it,ai,zdnet-ai,publish,ok,,,6139,1028,104,,506,215,136815,68067,68597,2251,237,0,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-9867656628,f102e443156ffdb4ddfef9803ba2a51f4fda8e7789fb1848f7c1b36d3a6d7f22,https://techcrunch.com/2026/08/26/nvidia-closes-in-on-hugging-face-acquisition,ai,techcrunch-ai,publish,ok,,,5581,922,112,,276,39,120842,37737,82919,2133,288,923,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-1714161166,04549386e189060e5c4cec379bdb46d29d1c6b86f1733f183f248eebdf7099b8,https://deepmind.google/blog/alphaevolve-impact,ai,deepmind-blog,publish,ok,,,5759,805,67,,13029,55,112032,42326,69508,2282,241,923,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-6958253661,236dc01fe211765d33aa3d13418635d505979a86127ef87c36049303a396f25a,https://mistral.ai/news/mistral-ai-raises-1-7-b-to-accelerate-technological-progress-with-ai,ai,mistral-news,publish,ok,,,1729,248,56,,463,57,62034,11855,50168,1298,177,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-8813861358,45baeac5a0e271ee1a5156bbf2937de1f3c038d1005bee01cce7596fa33a279c,https://bbc.co.uk/news/articles/ce871n7lyvlo?at_campaign=rss&at_medium=RSS,ai,bbc-tech,publish,ok,,,2135,337,93,,326,49,87066,15728,71329,1419,254,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-5882415431,dbcd5921b7af51478d5528ee07b1a96c5513df9f3533f917afe48ad04dc0738b,https://oreilly.com/radar/the-identity-crisis-no-one-planned-for-governing-non-human-agents-at-enterprise-scale,ai,oreilly-radar,publish,ok,,,7942,1246,92,,975,45,139286,52389,86751,2592,299,923,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-4264481190,29bcb0fd8fec25a6669d409a98ded14696267aac6c03cd0ffc9691bc2fd1e714,https://theguardian.com/us-news/2026/aug/27/trump-truth-social-ai-george-washington,ai,guardian-ai,publish,ok,,,3549,605,60,,320,42,75341,24275,51053,1716,181,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,ai-0288871243,4b0b581f96fdff4b22f43403dede893e341ce3acbf4e1a803a615bcefe3ab2d3,https://venturebeat.com/technology/google-just-redesigned-the-search-box-for-the-first-time-in-25-years-heres-why-it-matters-more-than-you-think,ai,venturebeat-ai,fetch,failed,http_rate_limited,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,energy-1400613866,79b050f13538d7ea23478ca806412fbca25871c799f94ad795bdec9fdb16d4a8,https://electrek.co/2026/08/26/tesla-owners-filming-breaking-law-fsd,energy,electrek,publish,ok,,,7645,1312,83,,933,44,115961,54348,61423,2654,211,923,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,energy-4182029077,5c67e641c15e8b1577f41b06d8c03a3b84d05fe840afe0507a2a32e5bf74afa7,https://solarpowerworldonline.com/2026/08/sma-release-suite-of-power-solutions-for-data-center-market,energy,greentech,publish,ok,,,3177,444,78,,1240,32,89126,19455,69548,1533,244,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,energy-7715674526,daaa42a3d429359ee1251be6f90d6c681d9d594d05027cdb4cdc455ebd7a341f,https://modernpowersystems.com/news/wartsila-to-supply-14-mw-renewables-ready-plant-for-senegal-gold-mine,energy,modern-power,publish,ok,,,2156,315,58,,836,32,76631,14364,62258,1404,219,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,energy-9770240768,2f95d862b528bb0050312b8a8e5b0398289243b8c38cebd4dd131b17ecebd1ef,https://energy-storage.news/18gwh-of-bess-comes-online-in-july-year-to-date-total-up-27,energy,energy-storage,publish,ok,,,1901,306,65,,1026,47,92293,17809,74475,1489,262,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,energy-4467941044,3bd382a9e17e72b4e2054bfe2efbbf7c32ac3cfe2de40643b16f42530e04b00f,http://iaea.org/newscenter/pressreleases/iaea-launches-atlas-as-countries-explore-nuclear-power-for-shipping-and-offshore-energy,energy,iaea-news,fetch,failed,http_client_error,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,energy-4954952594,44a91be01956ef92c3fbd723ac1550c68990c15fcb242f32e12f473fd989c726,https://energymonitor.ai/news/sage-chiyoda-study-geothermal,energy,energymonitor,publish,ok,,,2996,416,214,,628,39,144531,18547,125974,1523,441,922,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,business-economy-3227994988,f3e07be13775b76ca0643f5998652320577b8d2fadb6a2966b5742235648d3aa,https://ft.com/content/0176cab1-04f8-4535-84d2-8e9df271ff02?syn-25a6b1a6=1,business-economy,ft-companies,fetch,failed,http_client_error,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2026-08-27,2026-08-27-1,business-economy-2920336093,c5427b9972c386dd5593a3c348cf186c2a008b80214257f346865b0adc954f21,https://fortune.com/2026/08/27/nvidia-stock-q2-earnings-call-i-think-the-whole-market-was-like-whoa-analyst-says,business-economy,fortune,extract,failed,paywalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
